claim,speaker,subject,label,label_str
Says the Annies List political group supports third-trimester abortions on demand.,dwayne-bohac,abortion,0,false
When did the decline of coal start? It started when natural gas took off that started to begin in (President George W.) Bushs administration.,scott-surovell,"energy,history,job-accomplishments",1,half-true
"Hillary Clinton agrees with John McCain ""by voting to give George Bush the benefit of the doubt on Iran.""",barack-obama,foreign-policy,1,mostly-true
Health care reform legislation is likely to mandate free sex change surgeries.,blog-posting,health-care,0,false
The economic turnaround started at the end of my term.,charlie-crist,"economy,jobs",1,half-true
The Chicago Bears have had more starting quarterbacks in the last 10 years than the total number of tenured (UW) faculty fired during the last two decades.,robin-vos,education,1,true
Jim Dunnam has not lived in the district he represents for years now.,republican-party-texas,candidates-biography,0,barely-true
"I'm the only person on this stage who has worked actively just last year passing, along with Russ Feingold, some of the toughest ethics reform since Watergate.",barack-obama,ethics,1,half-true
"However, it took $19.5 million in Oregon Lottery funds for the Port of Newport to eventually land the new NOAA Marine Operations Center-Pacific.",oregon-lottery,jobs,1,half-true
Says GOP primary opponents Glenn Grothman and Joe Leibham cast a compromise vote that cost $788 million in higher electricity costs.,duey-stroebel,"energy,message-machine-2014,voting-record",1,mostly-true
"For the first time in history, the share of the national popular vote margin is smaller than the Latino vote margin.",robert-menendez,elections,1,mostly-true
"Since 2000, nearly 12 million Americans have slipped out of the middle class and into poverty.",bernie-s,"economy,jobs,new-hampshire-2012,poverty",1,half-true
"When Mitt Romney was governor of Massachusetts, we didnt just slow the rate of growth of our government, we actually cut it.",mitt-romney,"history,state-budget",0,false
The economy bled $24 billion due to the government shutdown.,doonesbury,"economy,federal-budget,health-care",1,mostly-true
Most of the (Affordable Care Act) has already in some sense been waived or otherwise suspended.,george-will,health-care,0,barely-true
"In this last election in November, ... 63 percent of the American people chose not to vote, ... 80 percent of young people, (and) 75 percent of low-income workers chose not to vote.",bernie-s,elections,1,half-true
McCain opposed a requirement that the government buy American-made motorcycles. And he said all buy-American provisions were quote 'disgraceful.',barack-obama,federal-budget,1,true
"U.S. Rep. Ron Kind, D-Wis., and his fellow Democrats went on a spending spree and now their credit card is maxed out",national-republican-congressional-committee,federal-budget,0,barely-true
"Water rates in Manila, Philippines, were raised up to 845 percent when a subsidiary of the World Bank became a partial owner.",gwen-moore,"financial-regulation,foreign-policy,water",1,half-true
"Almost 100,000 people left Puerto Rico last year.",jack-lew,"bankruptcy,economy,population",1,mostly-true
Women and men both are making less when you adjust for inflation than when John Kitzhaber was first elected governor.,dennis-richardson,"economy,income",0,false
The United States has the highest corporate tax rate in the free world.,eric-bolling,"corporations,taxes",1,mostly-true
We just had the best year for the auto industry in America in history.,hillary-clinton,economy,1,mostly-true
"Says Scott Walker favors cutting up to 350,000 families and children off health care.",greater-wisconsin-political-fund,"health-care,message-machine",1,half-true
Says Mitt Romney wants to get rid of Planned Parenthood.,planned-parenthood-action-fund,"abortion,federal-budget,health-care",0,barely-true
I dont know who (Jonathan Gruber) is.,nancy-pelosi,health-care,0,false
Hate crimes against American Muslims and mosques have tripled after Paris and San Bernardino.,hillary-clinton,"crime,diversity,homeland-security,terrorism",1,mostly-true
